Label
by
(note
Monica
Joey
Chandler
Phoebe
Ross
Rachel
me
[scene
Paul
All
Tv
Frannie
advice
Marsha
Carol
Geller
Susan
Barry
Robbie
Bernice
Oberman
Paula
you
Alan
Guys
question
Lizzie
O
out
Joanne
Kiki
size="3">leslie
wa
th
Receptionist
dente
Guy
Both
tha
Pheebs
Angela
Janice
Woman
Bob
Aurora
stuff
non
Director
way
grea
m
Jill
note
perfectio
Heckles
Paolo
From
Shelley
ge
Lillian
Nurse
ma
No
Andrea
Lowell
i
Terry
Girl
says
hav
follows
holiday
(sung
Max
David
Sandy
Bobby
Clark
Street
Leno
Unbound'
Bing
Assistant
Customer
continues
Girls
align="left">[scene
Roger
Tribbiani
Ronni
stop
Lorraine
Kristin
something
ne
ver
Tedlock
yo
no
Celia
bette
coo
ho
Vulv
Steve
What
eve
size="3">phoebe
Ursula
an
Teacher
Helen
Nina
someon
on
Douglas
Jamie
Fran
Mr.heckles
voice
13
avoidin
tip
Ursul
evi
stuf
tal
anythin
lov
Rache
Monic
Nurs
ar
Ros
wit
hik
a
Joe
heav
Chandle
I'
s
Phoebe'
Mitchell
Monica)
Rachel)
Rosen
Party
Surprise!!
cak
Phoeb
Friends
Surprise
sto
wus
What!!
bos
h
hat
ther
he
kno
neve
zer
her
people
Ursula)
craz
hi
Al
En
compupe
quietly)
loud)
(reading)
doe
table)
Joey)
bluffin
Ross)
(mimicking)
(surprised)
disbelief)
Iris
Phoebe)
foreve
singing)
jo
Birdi
That'
bir
Tha
Note
have
Intercom
Luisa
Mindy
letters
this
Danielle
Baldhara
Pa
Actor
align="left">(scene
Ethan
thinking
Gerston
Santos
Petrie
Franzblau
Lydia
lande
Ou
Janitor
tim
reall
alway
d
Forge
Melanie
Attendant
Man
wife)
bi
Carl
stupi
onc
Julie
Paulo
Frankie
Annabelle
Treeger
me.ross
Boyle
Alison
http
Stranger
Duncan
Rahcel
Voice)
Jade
Waiter
Machine
Waitress
Caroline
Boys
Doctor
Bus
Stephanie
babies)
Kid
Together
Chan
Rach
throug
Phoe
Mnca
Mich
ca
src="file
Phoe/mnca
Rtst
holidays
Joey/chan
one
two
three
four
five
six
spit
Radio
Gunther
Gang
Grandmother
theme
differen
thi
Fbob
looooovvvvv
loooooovvvvv
lo
wasn'
Russ
Estl
hea
you'r
wh
Rus
gum
Credit
Wallace
Green
Minister
Voiceover
Rob
Erica
Lipson
Kids
Guard
Trainer
Susie
don'
Damme
align="left">note
